2016-04-11 10:03:03,679 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:03:08,031 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:03:08,051 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:03:08,060 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:03:08,079 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:06:12,099 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:06:12,118 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:06:12,122 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:06:12,139 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:07:42,435 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:07:42,454 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 10:07:42,556 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:07:42,573 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:07:45,769 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:07:45,792 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:07:45,796 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:07:45,823 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:09:29,124 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:09:29,173 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-11 10:09:29,186 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:09:29,200 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:10:03,077 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:10:03,078 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 10:10:15,624 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:10:15,639 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:10:15,644 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:10:15,655 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:11:35,950 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:11:35,951 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 10:11:54,172 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:11:54,182 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:11:54,185 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:11:54,194 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:41:53,793 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:41:53,813 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-04-11 10:41:53,818 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:41:53,832 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:43:36,982 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:43:36,982 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2016-04-11 10:43:49,108 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:43:49,122 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-04-11 10:43:49,142 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:43:49,156 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:44:47,915 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-04-11 10:45:01,883 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2016-04-11 10:45:05,657 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:45:05,658 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2016-04-11 10:46:11,498 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:46:11,499 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 10:46:37,707 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:46:37,707 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 10:46:47,336 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:46:47,346 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:46:47,349 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:46:47,361 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:47:06,209 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:47:06,210 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 10:47:15,616 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
